Train Step:3510, Train Loss:1.3614, Val Acc:0.1123
Train Step:3520, Train Loss:1.1971, Val Acc:0.1123
Train Step:3530, Train Loss:1.0675, Val Acc:0.1122
Train Step:3540, Train Loss:1.2871, Val Acc:0.1124
Train Step:3550, Train Loss:1.0260, Val Acc:0.1126
Train Step:3560, Train Loss:1.1352, Val Acc:0.1133
Train Step:3570, Train Loss:1.0533, Val Acc:0.1137
Train Step:3580, Train Loss:1.1420, Val Acc:0.1139
Train Step:3590, Train Loss:1.0584, Val Acc:0.1135
Train Step:3600, Train Loss:1.1250, Val Acc:0.1137
Train Step:3610, Train Loss:1.3805, Val Acc:0.1136
Train Step:3620, Train Loss:1.4407, Val Acc:0.1134
Train Step:3630, Train Loss:1.3339, Val Acc:0.1132
Train Step:3640, Train Loss:1.3761, Val Acc:0.1127
Train Step:3650, Train Loss:1.1846, Val Acc:0.1131
Train Step:3660, Train Loss:1.1413, Val Acc:0.1130
Train Step:3670, Train Loss:1.2447, Val Acc:0.1125
Train Step:3680, Train Loss:1.1226, Val Acc:0.1121
Train Step:3690, Train Loss:1.4792, Val Acc:0.1124
Train Step:3700, Train Loss:1.0602, Val Acc:0.1129
Train Step:3710, Train Loss:1.1208, Val Acc:0.1132
Train Step:3720, Train Loss:1.3731, Val Acc:0.1133
Train Step:3730, Train Loss:1.4640, Val Acc:0.1143
Train Step:3740, Train Loss:1.1245, Val Acc:0.1148
Train Step:3750, Train Loss:1.4321, Val Acc:0.1148
Train Step:3760, Train Loss:1.1936, Val Acc:0.1143
Train Step:3770, Train Loss:1.1747, Val Acc:0.1143
Train Step:3780, Train Loss:1.4492, Val Acc:0.1144
Train Step:3790, Train Loss:1.6430, Val Acc:0.1143
Train Step:3800, Train Loss:1.8170, Val Acc:0.1144
Train Step:3810, Train Loss:1.0303, Val Acc:0.1143
Train Step:3820, Train Loss:1.1508, Val Acc:0.1139
Train Step:3830, Train Loss:1.3170, Val Acc:0.1139
Train Step:3840, Train Loss:1.2478, Val Acc:0.1137
Train Step:3850, Train Loss:1.1111, Val Acc:0.1139
Train Step:3860, Train Loss:1.2573, Val Acc:0.1143
Train Step:3870, Train Loss:1.2475, Val Acc:0.1141
Train Step:3880, Train Loss:0.9467, Val Acc:0.1143
Train Step:3890, Train Loss:1.2486, Val Acc:0.1144
Train Step:3900, Train Loss:1.1513, Val Acc:0.1147
Train Step:3910, Train Loss:2.3216, Val Acc:0.1148
Train Step:3920, Train Loss:1.4154, Val Acc:0.1150
Train Step:3930, Train Loss:1.4315, Val Acc:0.1155
Train Step:3940, Train Loss:1.0358, Val Acc:0.1161
Train Step:3950, Train Loss:1.3207, Val Acc:0.1167
Train Step:3960, Train Loss:1.2326, Val Acc:0.1167
Train Step:3970, Train Loss:1.0065, Val Acc:0.1167
Train Step:3980, Train Loss:1.2104, Val Acc:0.1165
Train Step:3990, Train Loss:0.9201, Val Acc:0.1164
Train Step:4000, Train Loss:1.2555, Val Acc:0.1168
Train Step:4010, Train Loss:0.8667, Val Acc:0.1170
Train Step:4020, Train Loss:1.0540, Val Acc:0.1171
Train Step:4030, Train Loss:1.2203, Val Acc:0.1168
Train Step:4040, Train Loss:1.1602, Val Acc:0.1164
Train Step:4050, Train Loss:1.0252, Val Acc:0.1163
Train Step:4060, Train Loss:1.2612, Val Acc:0.1160
Train Step:4070, Train Loss:1.1551, Val Acc:0.1166
Train Step:4080, Train Loss:1.0336, Val Acc:0.1172
Train Step:4090, Train Loss:1.1811, Val Acc:0.1175
Train Step:4100, Train Loss:0.9052, Val Acc:0.1173
Train Step:4110, Train Loss:1.0064, Val Acc:0.1175
Train Step:4120, Train Loss:1.0396, Val Acc:0.1175
Train Step:4130, Train Loss:1.1029, Val Acc:0.1176
Train Step:4140, Train Loss:1.3840, Val Acc:0.1174
Train Step:4150, Train Loss:0.9862, Val Acc:0.1175
Train Step:4160, Train Loss:1.4799, Val Acc:0.1177
Train Step:4170, Train Loss:1.1624, Val Acc:0.1179
Train Step:4180, Train Loss:1.3296, Val Acc:0.1178
Train Step:4190, Train Loss:1.1702, Val Acc:0.1186
Train Step:4200, Train Loss:0.9695, Val Acc:0.1186
Train Step:4210, Train Loss:1.1720, Val Acc:0.1185
Train Step:4220, Train Loss:0.8634, Val Acc:0.1185
Train Step:4230, Train Loss:0.8689, Val Acc:0.1185
Train Step:4240, Train Loss:1.0057, Val Acc:0.1192
Train Step:4250, Train Loss:0.9608, Val Acc:0.1195
Train Step:4260, Train Loss:1.0656, Val Acc:0.1192
Train Step:4270, Train Loss:1.0783, Val Acc:0.1196
Train Step:4280, Train Loss:0.9168, Val Acc:0.1204
Train Step:4290, Train Loss:1.3806, Val Acc:0.1202
Train Step:4300, Train Loss:1.3508, Val Acc:0.1209
Train Step:4310, Train Loss:1.0641, Val Acc:0.1202
Train Step:4320, Train Loss:1.0317, Val Acc:0.1205
Train Step:4330, Train Loss:1.1673, Val Acc:0.1210
Train Step:4340, Train Loss:1.1810, Val Acc:0.1217
Train Step:4350, Train Loss:0.9813, Val Acc:0.1225
Train Step:4360, Train Loss:1.0645, Val Acc:0.1228
Train Step:4370, Train Loss:0.8025, Val Acc:0.1218
Train Step:4380, Train Loss:1.1000, Val Acc:0.1220
Train Step:4390, Train Loss:1.3716, Val Acc:0.1220
Train Step:4400, Train Loss:1.2822, Val Acc:0.1223
Train Step:4410, Train Loss:0.7783, Val Acc:0.1217
Train Step:4420, Train Loss:0.9457, Val Acc:0.1200
Train Step:4430, Train Loss:1.1767, Val Acc:0.1198
Train Step:4440, Train Loss:0.9364, Val Acc:0.1198
Train Step:4450, Train Loss:1.2092, Val Acc:0.1198
Train Step:4460, Train Loss:0.9820, Val Acc:0.1193
Train Step:4470, Train Loss:0.9558, Val Acc:0.1193
Train Step:4480, Train Loss:1.0032, Val Acc:0.1200
Train Step:4490, Train Loss:1.2193, Val Acc:0.1211
Train Step:4500, Train Loss:1.2481, Val Acc:0.1215
Train Step:4510, Train Loss:1.1903, Val Acc:0.1222
Train Step:4520, Train Loss:1.0124, Val Acc:0.1228
Train Step:4530, Train Loss:1.0781, Val Acc:0.1228
Train Step:4540, Train Loss:0.7812, Val Acc:0.1230
Train Step:4550, Train Loss:0.9519, Val Acc:0.1240
Train Step:4560, Train Loss:1.1557, Val Acc:0.1246
Train Step:4570, Train Loss:1.1987, Val Acc:0.1251
Train Step:4580, Train Loss:1.0281, Val Acc:0.1239
Train Step:4590, Train Loss:0.8050, Val Acc:0.1230
Train Step:4600, Train Loss:1.0405, Val Acc:0.1223
Train Step:4610, Train Loss:0.8665, Val Acc:0.1222
Train Step:4620, Train Loss:1.2271, Val Acc:0.1221
Train Step:4630, Train Loss:1.3766, Val Acc:0.1230
Train Step:4640, Train Loss:0.8685, Val Acc:0.1230
Train Step:4650, Train Loss:1.1844, Val Acc:0.1236
Train Step:4660, Train Loss:1.1699, Val Acc:0.1234
Train Step:4670, Train Loss:0.9783, Val Acc:0.1237
Train Step:4680, Train Loss:1.1516, Val Acc:0.1232
Train Step:4690, Train Loss:1.4267, Val Acc:0.1241
